Artist,Title,Release Date,Label,Sales,Certification,Hit,Hit Youtube
2 Chainz,Based on a T.R.U. Story,8/14/12,Def Jam,"623,000",Platinum,Birthday Song,https://www.youtube.com/watch?v=Y34jC4I1m70
2 Chainz,B.O.A.T.S. II: Me Time,9/10/13,Def Jam,"293,000",,Feds Watching,https://www.youtube.com/watch?v=NttlPwNKd_M
2 Chainz,ColleGrove,3/4/16,Def Jam,,,Twerk Season,
2 Chainz,Pretty Girls Like Trap Music,6/16/17,Def Jam,"500,000",Gold,It's a Vibe,https://www.youtube.com/watch?v=tU3p6mz-uxU
2 Chainz,Rap or Go to the League,*2018,Def Jam,,,,
21 Savage,Issa Album,7/7/17,Epic,"500,000",Gold,Bank Account,https://www.youtube.com/watch?v=tU3p6mz-uxU
21 Savage,Without Warning,10/31/17,Epic,,Gold,Ric Flair Drip,https://www.youtube.com/watch?v=LPTlvQ1Zet0
21 Savage,Atlanta,*10/26/2018,Slaughter Gang,,,,
6lack,Free 6lack,11/13/17,Interscope,,Gold,Ex Calling,https://www.youtube.com/watch?v=4Rh0228Xx0A
6lack,East Atlanta Love Letter,9/14/18,Interscope,,,Switch,https://www.youtube.com/watch?v=IgYEGyVSXzA
Arrested Development,"3 Years, 5 Months and 2 Days in the Life Of…",3/24/92,Chrysalis,,4_ Platinum,People Everyday,https://www.youtube.com/watch?v=cGusP7aCCYc
Arrested Development,Unplugged,3/1/93,Chrysalis,,Gold,,
Arrested Development,Zingalamaduni,6/14/94,Chrysalis,,Silver,Ease My Mind,https://www.youtube.com/watch?v=TEaS0_phG8o
Arrested Development,Da Feelin' EP,*2000,EMI,,,,
Arrested Development,Heroes of the Harvest,*2002,Vagabond Productions,,,,
Arrested Development,Extended Revolution,*2003,Stateside Records,,,,
Arrested Development,Among The Trees,*2004,Vagabond Productions,,,,
Arrested Development,Since The Last Time,*2006,Vagabond Productions,,,,
Arrested Development,Strong,*2010,Cutting Edge,,,,
Arrested Development,Standing At The Crossroads,*2012,Vagabond Productions,,,,
Arrested Development,Changing The Narrative,*2016,Vagabond Productions,,,,
Arrested Development,This Was Never Home,*2016,Vagabond Productions,,,,
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,7/6/10,Def Jam,,,Shutterbugg,https://www.youtube.com/watch?v=rWsvkW6rKkQ
Big Boi,Vicious Lies and Dangerous Rumors,12/11/12,Def Jam,,,Mama Told Me,https://www.youtube.com/watch?v=CRUVMg6yvCs
Big Boi,Boomiverse,6/16/17,Epic,,,Kill Jill,https://www.youtube.com/watch?v=VDLDVPV8kDE
Childish Gambino,Camp,11/15/11,Universal,"242,000",,Heartbeat,https://www.youtube.com/watch?v=14yy-ccH1K8
Childish Gambino,Because the Internet,12/10/13,Universal,"525,000",Gold,V. 3005,https://www.youtube.com/watch?v=tG35R8F2j8k
Childish Gambino,"""Awaken, My Love!""",12/2/16,Universal,"100,000",Platinum,Redbone,https://www.youtube.com/watch?v=Kp7eSUU9oy8